swap	1	={	8850	4500	500	600	500	650	450	650	450	1750	500	600	500	650	450	600	500	650	500	600	500	1750	450	1750	450	650	500	600	500	1750	450	1750	450	1750	500	600	500	600	500	650	450	1800	450	1750	450	650	450	1750	500	600	500	1750	450	1750	450	1750	500	650	450	650	450	1750	450	650	500	1750	450	};
av/fm	2	={	8900	4450	500	600	500	650	500	600	500	1750	450	650	450	650	500	600	500	600	500	600	500	1750	450	1750	500	600	500	650	450	1750	500	1700	500	1750	450	1750	500	600	500	650	450	600	500	1750	450	650	500	1750	450	600	500	650	450	1750	500	1750	450	1750	450	650	500	1750	450	650	450	1750	450	};
mute	3	={	8900	4500	450	600	550	550	550	550	550	1750	450	600	550	600	500	550	550	600	500	600	500	1750	500	1700	500	600	500	600	500	1750	500	1650	550	1700	500	1750	500	1750	450	600	500	600	500	600	550	600	500	1700	500	600	500	600	500	600	550	1700	500	1700	500	1700	550	1700	500	550	550	1700	500	};
off	4	={	8900	4450	500	600	550	550	550	600	500	1700	500	600	550	600	500	550	550	550	550	600	500	1750	500	1700	500	550	550	600	500	1700	550	1650	550	1700	500	1750	500	1700	500	1750	450	650	500	550	550	600	500	1700	500	600	500	600	550	550	550	550	550	1700	500	1750	500	1700	500	600	500	1700	550	};
num_1	5	={	8900	4500	500	600	500	650	450	600	500	1750	500	600	500	650	450	600	500	650	450	650	450	1750	500	1700	500	600	500	700	400	1750	500	1750	450	1750	500	600	500	1750	450	650	450	650	450	650	500	650	450	1750	450	650	450	1750	500	650	450	1750	450	1750	500	1700	500	1750	450	650	450	1750	500	};
num_2	6	={	8900	4450	550	600	500	600	500	600	550	1650	550	550	550	600	500	600	550	550	550	550	550	1700	500	1700	550	550	550	550	550	1700	500	1700	550	1650	550	1700	500	600	550	550	550	550	550	600	500	600	500	1700	550	550	550	550	550	1700	500	1700	550	1650	550	1700	550	1650	550	550	550	1700	500	};
num_3	7	={	8900	4450	550	550	550	550	550	600	500	1700	550	550	550	550	550	600	500	600	550	550	550	1650	550	1700	500	600	550	550	550	1650	550	1700	500	1700	550	550	550	550	550	600	500	600	550	550	550	550	550	1650	550	600	500	1700	550	1650	550	1700	500	1700	550	1650	550	1700	550	550	550	1650	550	};
	8	={	8900	4450	550	550	550	600	500	600	550	1650	550	550	550	600	500	600	500	600	550	550	550	1650	550	1700	550	550	550	550	550	1650	550	1700	550	1650	550	550	550	1700	500	1700	550	1650	550	550	550	600	500	1700	550	550	550	1700	500	600	500	600	550	550	550	1650	550	1700	500	600	550	1650	550	};
num_4	9	={	8950	4450	550	550	550	550	550	550	550	1700	500	600	550	550	550	550	550	550	550	600	500	1700	550	1650	550	600	500	600	500	1700	550	1650	550	1700	550	550	550	1650	550	1700	500	600	500	600	550	550	550	1650	550	600	500	1700	550	550	550	550	550	1700	550	1650	550	1650	550	600	500	1700	550	};
num_5	10	={	8950	4450	500	600	550	550	550	550	550	1700	500	600	550	550	550	550	550	550	550	550	550	1700	550	1650	550	550	550	600	500	1700	550	1650	550	1700	500	1700	550	550	550	1700	500	600	500	600	550	550	550	1650	550	600	500	600	550	1650	550	550	550	1700	500	1700	550	1650	550	600	500	1700	550	};
num_6	11	={	8900	4500	500	600	500	650	450	650	500	1700	500	600	500	600	500	650	500	600	500	600	500	1700	500	1750	500	600	500	600	500	1700	500	1700	550	1650	550	600	500	600	500	1700	550	600	500	600	500	600	500	1700	550	550	550	1650	550	1700	500	650	500	1650	550	1700	500	1700	550	600	500	1650	550	};
	12	={	8950	4450	550	550	550	550	550	550	550	1700	500	600	550	550	550	550	550	550	550	600	500	1700	550	1650	550	600	500	600	550	1650	550	1650	550	1700	550	550	550	550	550	1650	550	600	500	1700	550	550	550	1700	500	600	550	1650	550	1650	550	600	500	1700	550	550	550	1650	550	600	500	1700	550	};
num_7	13	={	8950	4450	500	600	550	550	550	550	550	1700	500	600	550	550	550	550	550	550	550	600	500	1700	550	1650	550	550	550	600	500	1700	550	1650	550	1700	500	600	550	1650	550	550	550	1700	550	550	550	550	550	1650	550	600	500	1700	550	550	550	1700	500	600	500	1700	550	1650	550	600	500	1700	550	};
num_8	14	={	8900	4450	550	550	550	550	550	600	500	1700	550	550	550	550	550	600	500	600	500	600	550	1650	550	1700	500	600	550	550	550	1650	550	1700	500	1700	550	1650	550	600	500	600	500	1700	550	550	550	550	550	1700	550	550	550	550	550	1700	500	1700	550	550	550	1650	550	1700	550	550	550	1650	550	};
num_9	15	={	8900	4450	550	550	550	600	500	600	500	1700	550	550	550	550	550	600	500	600	550	550	550	1650	550	1700	500	600	550	550	550	1650	550	1700	500	1700	550	550	550	550	550	600	500	1700	550	550	550	550	550	1700	500	600	550	1650	550	1700	500	1700	550	550	550	1650	550	1700	550	550	550	1650	550	};
	16	={	8900	4450	550	550	550	600	500	600	550	1650	550	550	550	600	500	600	500	600	550	550	550	1650	550	1700	550	550	550	550	550	1650	550	1700	550	1650	550	550	550	600	500	600	500	600	550	1650	550	550	550	1700	550	550	550	1650	550	1700	500	1700	550	1650	550	600	500	1700	550	550	550	1650	550	};
fav list	17	={	8900	4450	550	550	550	600	500	600	550	1650	550	550	550	600	500	600	550	550	550	550	550	1650	550	1700	550	550	550	550	550	1650	550	1700	550	1650	550	550	550	600	500	1700	550	1650	550	550	550	600	500	1700	550	550	550	1700	500	1700	550	600	500	550	550	1700	500	1700	550	550	550	1700	500	};
num_0	18	={	8950	4450	550	550	550	550	550	550	550	1700	500	600	550	550	550	550	550	550	550	600	500	1700	550	1650	550	550	550	600	500	1700	550	1650	550	1700	500	1700	550	550	550	1700	500	1700	550	550	550	550	550	1700	500	600	550	550	550	1650	550	600	500	600	550	1650	550	1650	550	600	500	1700	550	};
game	19	={	8900	4450	550	550	550	600	500	650	450	1700	550	600	500	600	500	600	500	650	450	650	500	1700	500	1700	500	650	500	550	550	1700	500	1700	500	1700	550	1700	500	600	500	1700	550	600	500	1650	550	600	500	1700	550	600	500	550	550	1700	500	650	500	1650	550	600	500	1700	500	650	500	1650	550	};
	20	={	8900	4450	550	550	550	600	500	600	500	1700	550	550	550	550	550	550	550	600	500	650	500	1650	550	1650	550	600	500	600	550	1650	550	1700	500	1700	550	1650	550	550	550	600	500	1700	550	1650	550	600	500	1700	550	550	550	550	550	1700	500	1700	550	550	550	600	500	1700	500	600	550	1650	550	};
f1	21	={	8950	4400	550	600	500	600	550	550	550	1650	550	600	500	600	500	600	550	550	550	550	550	1700	500	1700	550	550	550	550	550	1700	550	1650	550	1650	550	1700	550	1650	550	1700	500	1700	550	1650	550	550	550	600	500	600	550	550	550	550	550	550	550	600	500	600	550	1650	550	1650	550	1700	550	};
f2	22	={	8950	4450	550	550	550	550	550	550	550	1700	500	650	500	600	500	550	550	600	500	600	500	1700	550	1650	550	600	500	650	500	1650	550	1650	550	1700	550	1650	550	1700	500	600	500	1700	550	1650	550	600	500	600	550	550	550	550	550	550	550	1700	500	600	550	550	550	1650	550	1700	550	1650	550	};
f3	23	={	8900	4450	550	600	500	600	500	600	500	1750	500	600	500	600	500	600	500	600	500	600	500	1750	500	1700	500	600	500	650	450	1750	500	1700	500	1750	450	1750	500	1700	500	1750	450	650	500	1700	500	600	500	600	500	650	450	650	500	600	500	600	500	1700	500	650	500	1700	500	1700	500	1750	500	};
f4	24	={	8900	4450	500	650	500	600	500	600	500	1700	500	650	450	650	500	600	500	600	500	600	500	1750	500	1700	500	600	500	600	500	1750	500	1700	500	1700	500	1750	500	1700	500	600	500	600	500	1750	500	600	500	600	500	600	500	600	500	650	500	1700	500	1700	500	650	450	1750	500	1700	500	1750	450	};
menu	25	={	8900	4500	500	600	500	600	500	600	500	1750	500	600	500	600	500	600	500	650	450	650	500	1700	500	1700	500	650	450	650	500	1700	500	1700	500	1750	500	600	500	1700	500	1750	500	1700	500	1700	500	650	450	650	500	600	500	1700	500	600	500	650	500	600	500	600	500	1700	500	1750	500	1700	500	};
¡ü	26	={	8900	4500	500	600	500	600	500	600	550	1700	500	600	500	600	500	600	500	600	550	550	550	1700	500	1750	500	550	550	600	500	1700	500	1750	500	1700	500	550	550	550	550	1750	500	600	500	1700	500	600	500	650	500	600	500	1700	500	1750	500	600	500	1700	500	600	500	1750	500	1650	550	1700	500	};
exit	27	={	8900	4450	550	600	500	550	550	600	500	1750	500	600	500	600	500	600	500	600	500	650	500	1700	500	1700	500	600	500	600	550	1650	550	1700	500	1750	500	600	500	1700	500	600	500	650	500	1700	500	600	500	600	500	650	500	1700	500	600	500	1700	500	1750	500	600	500	1700	500	1750	500	1700	500	};
¡û	28	={	8850	4500	500	600	500	600	500	650	500	1700	500	600	500	600	500	600	500	650	500	600	500	1700	500	1700	550	600	500	600	500	1700	500	1750	500	1700	500	1700	500	600	500	1750	500	1700	500	1750	450	650	500	600	500	600	500	600	500	1750	500	600	500	600	500	600	500	1750	500	1700	500	1700	500	};
